,description,runtime,id,imdb_score,release_year,title,type
1097,"Though legendary lyricist Howard Ashman died far too young, his impact on Broadway, movies, and the culture at large were incalculable. Told entirely through rare archival footage and interviews with Ashman’s family, friends, associates, and longtime partner Bill Lauch, Howard is an intimate tribute to a once-in-a-generation talent and a rousing celebration of musical storytelling itself.",93,tm406066,7.6,2018,Howard,MOVIE
1098,James Cameron and Simcha Jacobovici go on an adventure to find the lost city of Atlantis by using Greek philosopher Plato as a virtual treasure map.,93,tm320517,6.5,2017,Atlantis Rising,MOVIE
1099,"The tropical islands that lie between Asia and Australia are among the biologically richest on earth, and home to a vast number of plants and animals. From tree kangaroos to tarsiers, manta rays to mudskippers, the region abounds with life. But why? The answer lies deep in time, due to the many millions of years these islands have existed - and the power of the earth, the sun and the moon.",44,ts68223,4.4,2017,Paradise Islands,SHOW
1100,A Pixar short about a lost-and-found box and the unseen monster within.,7,tm286174,,2017,Lou,MOVIE
1101,"This documentary follows legendary stuntman Eddie Braun as he attempts one of the most dangerous stunts in history. Contemplating retirement and having survived over three decades of hellacious car crashes, explosions, high falls, and death-defying leaps, Eddie decides to complete what his childhood hero never finished -- the infamous Snake River Canyon rocket jump -- an audacious televised event that almost killed the man that inspired Eddie to become a stuntman, Evel Knievel.",87,tm1064162,6.7,2018,Stuntman,MOVIE
1102,"A passionate conservation biologist brings together a river bushman fearful of losing his past and a young scientist uncertain of her future on an epic, four-month expedition across three countries, through unexplored and dangerous landscapes, in order to save the Okavango Delta, one of our planet's last pristine wildernesses.",94,tm411403,7.6,2018,Into the Okavango,MOVIE
1103,"An adventure series that spans all Star Wars eras featuring LEGO versions of the fresh faces of the Star Wars galaxy alongside iconic heroes including Kylo Ren, R2-D2, Young Han, Chewie, Young Lando, BB-8 and General Leia.",16,ts85083,6.5,2018,LEGO Star Wars: All-Stars,SHOW
1104,"Nursery rhymes with a magical Disney Junior makeover! Mickey, Minnie, Goofy, Donald, and Daisy are joined by favorite characters from Puppy Dog Pals, Sofia the First, Doc McStuffins, Goldie & Bear and The Lion Guard!",2,ts85902,6.4,2017,Disney Junior Music Nursery Rhymes,SHOW
1105,Take a deep dive and learn all about the beloved sea animals in our oceans!,2,ts254161,,2018,Scuba Sam's World,SHOW
1106,A pair of middle-school siblings make nearly all of their decisions by crowdsourcing the opinions of their millions of online followers.,23,ts81382,5.6,2018,Coop & Cami Ask The World,SHOW
1107,The extraordinary staff at the Humane Society of the Pikes Peak Region risk their lives and give their hearts to save all animals big and small.,38,ts92367,8.4,2018,Rocky Mountain Animal Rescue,SHOW
1108,"We follow leading experts on a quest to unlock the mysteries surrounding the tomb of Christ, using the latest scientific techniques to restore the Aedicula housing the tomb.",46,tm417805,6.3,2017,Secrets Of Christ's Tomb,MOVIE
1109,"A look at NASA's Parker Solar Probe, which launched its mission to explore the sun in August 2018.",44,tm448006,6.6,2018,Mission to the Sun,MOVIE
1110,"A behind-the-scenes look at weddings and one-of-a-kind engagements that take place at Disney Destinations around the globe, including Walt Disney World, Disneyland and Disney Cruise Lines. Hosted by Ben Higgins and Lauren Bushnell. Included: fashion; products; entertainment; and décor. Also: a surprise musical performance by Pentatonix.",39,ts56986,6.5,2017,Disney's Fairy Tale Weddings,SHOW
1111,"For this magical pre-recorded viewing of the Disneyland® Paris classic, “Disney Illuminations"" you’re front and center for the amazing special effects and fireworks at Sleeping Beauty Castle. Prepare to hold your breath and “ahhhh” as the show recreates iconic Disney moments in ways you never thought possible!",19,tm1018769,,2017,Disney Illuminations Firework Show Disneyland Paris,MOVIE
1112,"Explore the ruins of Port Royal, once a flourishing pirate city, known for extravagance, women and liquor. The city which went by the sobriquet ""wickedest city on earth"", lies in shambles deep below the waters of Jamaica's Kingston Harbor after a devastating tsunami struck it on June 7, 1692",47,tm462384,6.3,2017,Drain The Sunken Pirate City,MOVIE
1113,"As the weather grows more deadly and destructive, Americans are demanding solutions to climate change — and they aren’t waiting on Washington to act.",77,tm476866,6.5,2018,Paris to Pittsburgh,MOVIE
1114,"Imagine diving into the ocean only to discover that you are surrounded by one of the largest shark frenzies on the planet. Well, that is exactly what these researchers did in the name of science. In Polynesia, the largest school of sharks — about 700 — patrols the waters en masse. Follow an international team of scientists as they study these magnificent creatures at night, when they are most aggressive, to discover their mysterious hunting strategies and social behaviours. The result: incredible new behaviours never seen before, or caught on camera.",92,tm420056,6.9,2018,700 Sharks,MOVIE
1115,"Mickey is challenged by his nephews to tell a scary story on Halloween night, but his stories are mostly fun and silly, until he is finally pushed to tell a truly terrifying tale.",22,tm975587,,2017,The Scariest Story Ever: A Mickey Mouse Halloween Spooktacular,MOVIE
1116,"Taking place during the events of Incredibles 2, Edna Mode babysits Jack-Jack.",5,tm432143,,2018,Auntie Edna,MOVIE
1117,The adventures of science-obsessed Billy Dilley and his lab partners Zeke and Marsha,22,ts57455,3.1,2017,Billy Dilley’s Super-Duper Subterranean Summer,SHOW
1118,Survival expert Les Stroud explores the world of Alaska's most formidable wildlife and uncovers the secrets to their survival in America's final frontier.,44,ts81034,6.3,2018,Alaska's Grizzly Gauntlet,SHOW
1119,"National Geographic explorers have the best jobs ever! Find out what it's like to explore black holes, climb mountains, and go deep-sea diving for a living.",2,ts254582,,2018,Best Job Ever,SHOW
1120,"Follow ocean legend Sylvia Earle, renowned underwater National Geographic photographer Brian Skerry, writer Max Kennedy and their crew of teenage aquanauts on a year-long quest to deploy science and photography to inspire President Obama to establish new Blue Parks to protect essential habitats across an unseen American Wilderness.",47,tm285590,7.8,2017,Sea of Hope: America's Underwater Treasures,MOVIE
1121,"Pre-historic giants roam the world's oceans. Go beneath the surface of the sea for an extraordinary look & listen at these majestic creatures, as we explore their social behavior & hunting strategies.",47,tm431848,,2017,Giants of the Deep Blue,MOVIE
1122,"From the North Pole to remote islands, birds can live almost anywhere. How do these resilient animals thrive in such different environments? They have become hardy and versatile through their bodies, feathers, movements, and songs. In this global birding tour, we learn about these nomads of the sky.",44,tm833132,,2018,Planet of the Birds,MOVIE
1123,"Whether it's emergency surgery on a dog that's eaten an engagement ring, a middle-of-the-night house call, or playing an owner's recorded goodnight message for one of their boarded pets, doctors Will Draper and Fran Tyler offer full-service treatment for the domestic pets and owners who call Metro Atlanta home. But running a successful vet practice while juggling the demands of a busy family life-which includes their four teens, four dogs, two cats and grandma down the street-can lead to some hairy situations. Add on top of that two popular restaurants, and life can really get hopping.",44,ts237134,,2017,Love & Vets,SHOW
1124,,2,ts286381,7.4,2017,Tangled: Short Cuts,SHOW
1125,Siblings Kirby and Charlie share strange discoveries and fun facts from the world of Weird But True! And Charlie gives a behind-the-scenes look at what it takes to create these action-packed episodes.,2,ts254331,,2018,"Weirdest, Bestest, Truest",SHOW
1126,Exploring the natural extremes of the continents.,2,ts251368,,2018,Destination World,SHOW
1127,,30,ts109332,3.6,2018,Howie Mandel's Animals Doing Things,SHOW
1128,"Surrounded by the unforgiving Kalahari Desert, the Okavango Delta is a lush, vibrant oasis that pulses with life each year as the great flood rejuvenates the land with the return of water. Witness how incredible animals – like leopards, elephants, lions, hippos and more – adapt to this unpredictable and changing landscape. When the lands are flooded, the Okavango Delta is both a sanctuary and a trap, giving and taking life in equal measure. Then, like a living, breathing ecosystem, the waters soon recede and life becomes about one thing – survival. The fate of the tens of thousands of animals that live in this place of spectacular natural drama is at stake.",88,tm833136,7.6,2018,The Flood,MOVIE
1129,"Each of Mexico Untamed distinct colorful landscapes is characterised by the animals who live there. Charismatic travelers roam the oceans, forests and deserts, revealing drama and surprising behaviors. Predator and prey fight age-old battles for survival. Males and females of the most iconic species go to extreme measures to ensure the safe arrival of a new generation.",44,ts213957,7.3,2018,Mexico Untamed,SHOW
1130,"The National Geographic Kids channel is an exciting place to discover the very best of YouTube. Check back each day for a new video about awesome animals, cool science, funny pets, and more. We've also got curated playlists made just for curious kids like you to explore, laugh, and learn. So pick a topic you love and start watching today! Catch your favorite Nat Geo Kids videos during WILD KiDS on Saturday mornings on Nat Geo WILD. Check local listings for times.",25,ts80441,,2017,Awesome Animals,SHOW
1131,Wildlife filmmaker Bob Poole follows a mother cheetah named Naborr who is determined to keep her two cubs alive.,44,tm505107,6.8,2017,Man Among Cheetahs,MOVIE
1132,"Find out if Sam has what it takes to hang with animals in ""Zookeeper's Challenge."" Watch as Sam is challenged to feed, clean, and care for Kinkajous, Giraffes, Penguins, and more!",3,ts254154,,2018,Sam's Zookeeper Challenge,SHOW
1133,Jack does crazy things with wild animals to help protect and study them. Really crazy. And maybe dangerous. But Jack is a TRAINED EXPERT. DO NOT DO WHAT JACK DOES. Seriously. Approaching and handling wild animals can be dangerous. REALLY. Just don’t do it!,4,ts251352,,2018,Fearless Adventures with Jack Randall,SHOW
1134,"Academy Award-Winning Actress and ""The View"" Co-Host Whoopi Goldberg Reveals Disney Holiday Secrets in Freeform's ""Decorating Disney: Holiday Magic"".",58,tm363833,6.7,2017,Decorating Disney: Holiday Magic,MOVIE
1135,"It’s an ocean of giants. South Africa has a dramatic, rocky coast that’s raked by churning currents. Warm, cold, rich and murky water collide to create ""shark central"", with enough food to sustain the biggest. Giant sharks like great whites, tiger sharks, bull sharks, ragged tooth sharks, and whale sharks all reign supreme in these waters.",44,tm987733,,2018,Big Sharks Rule,MOVIE
1136,"Uganda is still what travellers consider an ‘insider tip’. Off the tourist map, a place still in the shadows of its past. Visitors, including scientists and conservationists, had a difficult time in the civil war-stricken country. Poaching had endangered many of Uganda’s most iconic animals including Mountain gorillas, cave elephants, the chimpanzees and even the tree-dwelling lions. But now the national parks have been restored and Uganda’s wildlife is once again thriving. This is a celebration of their survival.",45,tm983642,,2018,Wild Uganda,MOVIE
1137,"In the festive special edition hosted by “So You Think You Can Dance” all-star couple tWitch and Allison, the audience will go behind-the-scenes of some of the most spectacular weddings and engagements at Disney destinations around the globe during the holiday season. From a Frozen-inspired, winter wonderland wedding fit for royalty at Walt Disney World Resort in Florida celebrating Dominique and Joseph, to an intimate exchange of vows between Greg and Melanie at Disneyland Resort in California, viewers will be guests to the most talked about nuptials of the year.",58,tm362746,,2017,Disney’s Fairy Tale Weddings: Holiday Magic,MOVIE
1138,"Jump into the water with scuba diver Sam and discover the amazing world of underwater animals. The Sam Cam gives you a secret look at her ocean adventures, which she goes on with aquarium experts whose exclusive interviews add more fun to the journey.",6,ts80440,,2018,What Sam Sees,SHOW
1139,"In 1978, the Amoco Cadiz, a supertanker loaded with 220,000 tons of petrol, ran aground in Brittany, France. The accident caused the biggest oil spill France has ever known and is still today known as one of the 20th century’s biggest ecological catastrophes. Forty years later, Loïck Peyron tries to understand how nature recovered from the disaster and what lessons were learned from it.",44,tm939308,,2018,Oil Spill of The Century,MOVIE
1140,"In the heart of Uganda, there are lion prides that spend much of their lives in the trees – a rare and mysterious behavior seen in few other places in Africa – and little is known about why they do it. Big cat biologist Alexander Braczkowski sets out to study these lions, and his journey takes an unexpected, emotional turn.",44,tm833135,,2018,Tree Climbing Lions,MOVIE
1141,"Witness the earth’s greatest wildlife, shot by the world’s greatest wildlife cinematographers, in a spectacular 2-hour special originally broadcast on National Geographic, Sunday July 9th, 2017. Hosted by award-winning actress Jane Lynch and award-winning television personality Phil Keoghan, Earth Live gives viewers access to key locations across six continents — from South America to Asia and everywhere in between — as world-renowned cinematographers use cutting-edge technology to showcase a number of wildlife firsts. And, for the first time, viewers will watch live wildlife lit only by the moon, in full color, via new low-light camera technology.",120,tm326895,5.2,2017,Earth Live,MOVIE
1142,"After the fall of the Galactic Empire, lawlessness has spread throughout the galaxy. A lone gunfighter makes his way through the outer reaches, earning his keep as a bounty hunter.",40,ts84392,8.7,2019,The Mandalorian,SHOW
1143,"Accidentally sent to the world of the Boiling Isles before a trip to summer camp, a teenage human named Luz longs to become a witch, with the rebellious Eda and pint-sized demon King at her aid.",24,ts113447,8.1,2020,The Owl House,SHOW
1144,"Presenting the tale of American founding father Alexander Hamilton, this filmed version of the original Broadway smash hit is the story of America then, told by America now.",160,tm439596,8.4,2020,Hamilton,MOVIE
1145,"The adventures of 13-year-old, self-centered Anne Boonchuy who is magically transported to the fictitious world of Amphibia, a rural marshland full of frog-people. With the help of an excitable young frog named Sprig, Anne will transform into a hero and discover the first true friendship of her life.",19,ts86872,8.1,2019,Amphibia,SHOW
1146,"After the devastating events of Avengers: Infinity War, the universe is in ruins due to the efforts of the Mad Titan, Thanos. With the help of remaining allies, the Avengers must assemble once more in order to undo Thanos' actions and restore order to the universe once and for all, no matter what consequences may be in store.",181,tm1855,8.4,2019,Avengers: Endgame,MOVIE
1147,"The X-Men face their most formidable and powerful foe when one of their own, Jean Grey, starts to spiral out of control. During a rescue mission in outer space, Jean is nearly killed when she's hit by a mysterious cosmic force. Once she returns home, this force not only makes her infinitely more powerful, but far more unstable. The X-Men must now band together to save her soul and battle aliens that want to use Grey's new abilities to rule the galaxy.",113,tm244126,5.7,2019,Dark Phoenix,MOVIE
1148,"Joe Gardner is a middle school teacher with a love for jazz music. After a successful audition at the Half Note Club, he suddenly gets into an accident that separates his soul from his body and is transported to the You Seminar, a center in which souls develop and gain passions before being transported to a newborn child. Joe must enlist help from the other souls-in-training, like 22, a soul who has spent eons in the You Seminar, in order to get back to Earth.",102,tm375501,8.0,2020,Soul,MOVIE
1149,"The surviving Resistance faces the First Order once again as the journey of Rey, Finn and Poe Dameron continues. With the power and knowledge of generations behind them, the final battle begins.",142,tm9,6.5,2019,Star Wars: The Rise of Skywalker,MOVIE
1150,"The story follows Carol Danvers as she becomes one of the universe’s most powerful heroes when Earth is caught in the middle of a galactic war between two alien races. Set in the 1990s, Captain Marvel is an all-new adventure from a previously unseen period in the history of the Marvel Cinematic Universe.",124,tm570,6.8,2019,Captain Marvel,MOVIE
1151,"Following the wildly successful ""Cosmos: A Spacetime Odyssey,"" Neil deGrasse Tyson returns as host to translate more revelations of science into a lavish transporting experience, taking audiences on a series of spiritual voyages of exploration. The show reveals previously uncharted realms, including lost worlds, worlds yet to come, and the worlds that humans may one day inhabit. Ann Druyan, original creative collaborator to Carl Sagan, whose iconic docuseries ""Cosmos"" provided inspiration for this series, serves as executive producer alongside Seth MacFarlane.",43,ts301932,9.1,2020,Cosmos: Possible Worlds,SHOW
1152,"Follow Gordon Ramsay as he meets with indigenous people around the globe to learn about the cultures, dishes and flavors unique to each location. Each episode concludes with Ramsay challenging himself with a local food legend by his side - putting his newfound skills to the test as they cook a feast together for the natives.",45,ts287331,7.7,2019,Gordon Ramsay: Uncharted,SHOW
1153,"Simba idolizes his father, King Mufasa, and takes to heart his own royal destiny. But not everyone in the kingdom celebrates the new cub's arrival. Scar, Mufasa's brother—and former heir to the throne—has plans of his own. The battle for Pride Rock is ravaged with betrayal, tragedy and drama, ultimately resulting in Simba's exile. With help from a curious pair of newfound friends, Simba will have to figure out how to grow up and take back what is rightfully his.",118,tm309655,6.8,2019,The Lion King,MOVIE
1154,"In a suburban fantasy world, two teenage elf brothers embark on an extraordinary quest to discover if there is still a little magic left out there.",103,tm375500,7.4,2020,Onward,MOVIE
1155,"Maleficent and her goddaughter Aurora begin to question the complex family ties that bind them as they are pulled in different directions by impending nuptials, unexpected allies, and dark new forces at play.",119,tm423725,6.6,2019,Maleficent: Mistress of Evil,MOVIE
1156,"Woody has always been confident about his place in the world and that his priority is taking care of his kid, whether that's Andy or Bonnie. But when Bonnie adds a reluctant new toy called ""Forky"" to her room, a road trip adventure alongside old and new friends will show Woody how big the world can be for a toy.",100,tm11948,7.7,2019,Toy Story 4,MOVIE
1157,A kindhearted street urchin named Aladdin embarks on a magical adventure after finding a lamp that releases a wisecracking genie while a power-hungry Grand Vizier vies for the same lamp that has the power to make their deepest wishes come true.,128,tm318224,6.9,2019,Aladdin,MOVIE
1158,"Old-school magic meets the modern world when young Alex stumbles upon the mythical sword Excalibur. He soon unites his friends and enemies, and they become knights who join forces with the legendary wizard Merlin. Together, they must save mankind from the wicked enchantress Morgana and her army of supernatural warriors.",120,tm319189,6.1,2019,The Kid Who Would Be King,MOVIE
1159,"An examination of the 1998 MLB season and the home run race between Mark McGwire and Sammy Sosa. The two sluggers' race to hit the most home runs, later overshadowed by the steroid scandal, left a permanent mark on baseball history.",120,tm892844,,2020,Long Gone Summer,MOVIE
1160,"When the Emperor of China issues a decree that one man per family must serve in the Imperial Chinese Army to defend the country from Huns, Hua Mulan, the eldest daughter of an honored warrior, steps in to take the place of her ailing father. She is spirited, determined and quick on her feet. Disguised as a man by the name of Hua Jun, she is tested every step of the way and must harness her innermost strength and embrace her true potential.",115,tm266656,5.7,2020,Mulan,MOVIE
1161,"At the height of the Cold War, newly formed NASA selects seven of the military’s best test pilots to become astronauts. Competing to be the first in space, these men achieve the extraordinary, inspiring the world to turn towards a new horizon of ambition and hope.",44,ts287032,6.7,2020,The Right Stuff,SHOW
1162,"The untold true story set in the winter of 1925 that takes you across the treacherous terrain of the Alaskan tundra for an exhilarating and uplifting adventure that will test the strength, courage and determination of one man, Leonhard Seppala, and his lead sled dog, Togo.",113,tm841282,7.9,2019,Togo,MOVIE
1163,"A gorilla named Ivan who’s living in a suburban shopping mall tries to piece together his past, with the help of other animals, as they hatch a plan to escape from captivity.",93,tm473071,6.5,2020,The One and Only Ivan,MOVIE
1164,"A young elephant, whose oversized ears enable him to fly, helps save a struggling circus, but when the circus plans a new venture, Dumbo and his friends discover dark secrets beneath its shiny veneer.",112,tm207119,6.3,2019,Dumbo,MOVIE
1165,"Elsa, Anna, Kristoff and Olaf head far into the forest to learn the truth about an ancient mystery of their kingdom.",103,tm244184,6.8,2019,Frozen II,MOVIE
1166,"Documentary series in which Goldblum pulls back the curtain on a seemingly familiar object to reveal a world of astonishing connections, fascinating science, and a whole lot of big ideas.",26,ts187275,7.7,2019,The World According to Jeff Goldblum,SHOW
1167,Beneath Cordoba's modern streets lie traces of the city's long-forgotten history. Explorer Fabio Amador joins archaeologists as they use advanced technology to unearth the city's buried mysteries.,44,tm1115985,,2019,Buried Secrets of Cordoba,MOVIE
1168,"Kris Kringle's daughter, Noelle, sets off on a mission to find and bring back her brother, after he gets cold feet when it's his turn to take over as Santa.",100,tm319217,6.3,2020,Noelle,MOVIE
1169,Artemis Fowl is a 12-year-old genius and descendant of a long line of criminal masterminds. He soon finds himself in an epic battle against a race of powerful underground fairies who may be behind his father's disappearance.,94,tm350097,4.2,2020,Artemis Fowl,MOVIE
1170,"An immersive, action-packed and discovery-led series following International teams of Egyptologists as they unearth the world's richest seam of ancient archaeology - Egypt's Valley of the Kings.",44,ts89507,,2019,Lost Treasures of Egypt,SHOW
1171,"A young rabbit embarks on a journey to dig the burrow of her dreams, despite not having a clue what she's doing.",6,tm937152,,2020,Burrow,MOVIE
1172,"Young musician Zach Sobiech discovers his cancer has spread, leaving him just a few months to live. With limited time, he follows his dream and makes an album, unaware that it will soon be a viral music phenomenon.",121,tm931709,7.5,2020,Clouds,MOVIE
1173,A group of East High students countdown to the opening night of their school’s first-ever production of “High School Musical.” Showmances blossom; friendships are tested while new ones are made; rivalries flare and lives are changed forever as these young people discover the transformative power that only a high school drama club can provide.,32,ts87334,7.1,2019,High School Musical: The Musical: The Series,SHOW
1174,Archaeologists search for evidence of the Maya civilisation and what became of it.,44,ts109657,6.5,2019,Lost Treasures of the Maya,SHOW
1175,An investigative journey set in the heart of the Aegean Sea. A team of archaeologists unveil what may be the world's oldest maritime sanctuary.,44,tm1142436,,2020,Buried Secrets of Keros,MOVIE
1176,"The love story between a pampered Cocker Spaniel named Lady and a streetwise mongrel named Tramp. Lady finds herself out on the street after her owners have a baby and is saved from a pack by Tramp, who tries to show her to live her life footloose and collar-free.",103,tm405465,6.2,2019,Lady and the Tramp,MOVIE
1177,Individuals who have recently left their traditional lifestyle behind face a challenging new world off the grid in the wilds of Alaska.,44,ts252988,5.2,2020,Life Below Zero: Next Generation,SHOW
1178,"An intimate concert film, in which Taylor Swift performs each song from her album 'folklore' in order, as she reveals the meaning and the stories behind all 17 tracks for the very first time.",106,tm977575,8.3,2020,Folklore: The Long Pond Studio Sessions,MOVIE
1179,"Utilizing ground-penetrating radar, LiDar and 3D scanning, Lin will work with boots-on-the-ground archaeologists to discover and re-create unexcavated worlds still hidden beneath the earth.",42,ts214210,7.7,2019,Lost Cities with Albert Lin,SHOW
1180,"Executive producer Jon Favreau invites the cast and crew of The Mandalorian to share an unprecedented look at the making of the series. Each chapter explores a different facet of the first live-action Star Wars television show through interviews, never-before-seen footage, and roundtable conversations hosted by Favreau himself.",33,ts267890,8.4,2020,Disney Gallery / Star Wars: The Mandalorian,SHOW
1181,"Born free in the American West, Black Beauty is a horse rounded up and brought to Birtwick Stables, where she meets spirited teenager Jo Green. The two forge a bond that carries Beauty through the different chapters, challenges and adventures.",110,tm945431,6.4,2020,Black Beauty,MOVIE
1182,"Derrick Campana of Bionic Pets makes prosthetics for animals. He has treated over 25,000 animals including dogs, cats, sheep, goat, llama and a few elephants. Each episode tells two of these stories. One is told during a family's appointment at his office. In the second story, he and his dog Henry travel to the home of a different patient where he uses his mobile workshop to help that animal walk again.",22,ts280148,9.4,2020,The Wizard of Paws,SHOW
1183,"Explore the past, present and future of Walt Disney Imagineering with noted filmmaker Leslie Iwerks. Ms. Iwerks comes from a family with deep Disney history — her grandfather was an early Disney animator and her father is a former Imagineer — and her previous work includes profiles of Pixar Animation Studios and visual effects house Industrial Light & Magic.",63,ts222773,,2019,The Imagineering Story,SHOW
1184,"In picturesque rural Nebraska, the husband and wife veterinary team of Drs. Ben and Erin Schroeder cares for the region's many animals in need.",44,ts225082,8.8,2020,"Heartland Docs, DVM",SHOW
1185,"Leo Borlock is an average student at Mica High School. He gets decent grades, is a member of the school's marching band and has always been content flying under the radar. But all that changes when he meets Stargirl Caraway, a confident and colorful new student with a penchant for the ukulele, who stands out in a crowd. She is kind, finds magic in the mundane and touches the lives of others with the simplest of gestures. Her eccentricities and infectious personality charm Leo and the student body, and she quickly goes from being ignored and ridiculed to accepted and praised, then back again, sending Leo on a rollercoaster ride of emotions.",104,tm857985,6.2,2020,Stargirl,MOVIE
1186,"An anthology documentary series that explores the historical, cultural and societal impacts of the Marvel Comics Universe and its intersection with the world.",52,ts188644,6.4,2020,Marvel 616,SHOW
1187,"Stories of people, including First Nations people, who live off the grid in remote regions of Northern Canada, and how they spend their day-to-day lives.",42,ts271549,8.0,2020,Life Below Zero: Northern Territories,SHOW
1188,This six part documentary draws attention to the most extraordinary — almost supernatural — accounts of animals that have adapted to the cruelest evolutionary curveballs.,47,ts88328,8.2,2019,Hostile Planet,SHOW
1189,"Nory and her best friend Reina enter the Sage Academy for Magical Studies, where Nory’s unconventional powers land her in a class for those with wonky, or “upside-down,” magic. Undaunted, Nory sets out to prove that that upside-down magic can be just as powerful as right-side-up.",96,tm916669,,2020,Upside-Down Magic,MOVIE
1190,The teenagers of Disney's most infamous villains return to the Isle of the Lost to recruit a new batch of villainous offspring to join them at Auradon Prep.,106,tm374091,6.4,2019,Descendants 3,MOVIE
1191,Dr. Hodges and Dr. Ferguson own and operate a bustling veterinary clinic.,44,ts235499,8.7,2020,Critter Fixers: Country Vets,SHOW
1192,"Reaching 29,029 feet, Mount Everest has long captivated mountaineers of all stripes. But a peak that draws athletes and mountaineers to new heights isn’t without danger — or a dark side. Perhaps the peak’s greatest mystery is the missing body of Andrew “Sandy” Irvine who disappeared alongside George Leigh Mallory in 1924 just 800 vertical feet from the summit. In Lost on Everest, we follow along as a team of elite climbers with new intel on the location of his missing body set out to solve what may be mountaineering’s great mystery. Along with the body, the team hopes to find Irvine’s camera and the footage that could rewrite history.",60,tm893036,6.7,2020,Lost on Everest,MOVIE
1193,"Rey leaves her friends to prepare for Life Day as she sets off on an adventure to gain a deeper knowledge of the Force. At a mysterious temple, she is hurled into a cross-timeline adventure. Will she make it back in time for Life Day?",44,tm923068,6.4,2020,The Lego Star Wars Holiday Special,MOVIE
1194,"An 11-year old boy believes that he is the best detective in town and runs the agency Total Failures with his best friend, an imaginary 1,200 pound polar bear.",99,tm845773,6.0,2020,Timmy Failure: Mistakes Were Made,MOVIE
1195,"A young and unskilled fairy godmother that ventures out on her own to prove her worth by tracking down a young girl whose request for help was ignored. What she discovers is that the girl has now become a grown woman in need of something very different than a ""prince charming.""",113,tm974117,6.1,2020,Godmothered,MOVIE
1196,A brave and resourceful girl becomes a royal detective in India after solving a mystery that saved the kingdom's young prince.,24,ts235731,,2020,"Mira, Royal Detective",SHOW
1197,Pip the penguin and Freddy the flamingo become the first non-stork employees for T.O.T.S (Tiny Ones Transport Service) who deliver babies to their parents.,21,ts94742,6.8,2019,T.O.T.S.,SHOW
1198,"Using the very latest in drone and aerial photographic technology, tour across countries and their seasons, getting a unique view from above.",43,ts223001,8.0,2019,Europe From Above,SHOW
1199,"The continuing adventures of Seabrook High students Addison and Zed, whose budding romance is threatened by the arrival of werewolves.",84,tm831100,5.8,2020,Z-O-M-B-I-E-S 2,MOVIE
1200,"The story of one remarkable woman who became a global icon in animal welfare and conservation who not only hoped for a better world, she achieved it! This sweeping documentary celebrates the vast legacy of Dr. Goodall’s four decades of advocacy work for chimpanzees and depicts the next chapter for generations to come.",88,tm886783,8.0,2020,Jane Goodall: The Hope,MOVIE
1201,"Just inside Everest's notorious death zone, a team of climate scientists who specialize in extreme weather weigh their next move.",42,tm961182,6.6,2020,Expedition Everest,MOVIE
1202,"The story of Ray-Ray McElrathbey, a freshman football player for Clemson University, who secretly raised his younger brother on campus after his home life became too unsteady.",122,tm974034,6.8,2020,Safety,MOVIE
1203,"Sam is a teenage royal rebel, second in line to the throne of the kingdom of Illyria. Just as her disinterest in the royal way of life is at an all-time high, she discovers she has super-human abilities and is invited to join a secret society of similar extraordinary second-born royals charged with keeping the world safe.",99,tm827783,4.9,2020,Secret Society of Second Born Royals,MOVIE
1204,Back to the Titanic documents the first manned dives to Titanic in nearly 15 years. New footage reveals fresh decay and sheds light on the ship’s future.,45,tm863958,6.0,2020,Back to the Titanic,MOVIE
1205,"It is the year 2149, the human race has taken to the stars where they have encountered The Sovereign; a galactic empire spanning thousands of worlds and hundreds of species, however they have not found it a warm welcome. Looked down upon and mistrusted, humans have to survive any way they can. Kora is an orphan girl getting by in the slums of small industrial planet, but she yearns for adventure and to truly live her life, so she enrolls with the crew of The Renegade, a cargo ship of mercenaries who happily take any job they can, legal or otherwise. Aboard the ship however she discovers that she may in fact hold the key to a long forgotten treasure, which attracts the attention of a powerful enemy.",20,ts249303,,2019,Spaced Out,SHOW
1206,Albert Lin investigates two great stories of the Bible: Could real events lie behind the parting of the Red Sea and the destruction of Sodom and Gomorrah?,44,ts223011,6.8,2019,Buried Secrets of The Bible With Albert Lin,SHOW
1207,"To pursue their dreams, these dancers will have to rise above the barre. Follow the real-life stories of students from the School of American Ballet in this Disney+ Original Documentary Series.",45,ts228562,7.7,2020,On Pointe,SHOW
1208,"If you could tell any story with the team of talented artists at Walt Disney Animation Studios, what would you create? Welcome to Short Circuit, an experimental, innovative program where anyone at the Studio can pitch an idea and get selected to create their own short film.",5,ts224501,7.6,2020,Walt Disney Animation Studios: Short Circuit Experimental Films,SHOW
1209,"Bia loves to draw and paint. She and her two best friends spend time at Fundom, a place where they and influencers like to show off their talents. On the other hand, LAIX is a network in which its CEO only wants fame and money.",37,ts105720,6.7,2019,Bia,SHOW
1210,"Everyday teen hero Kim Possible and her best friend Ron Stoppable embark on their freshman year of high school, all while saving the world from evil villains. While Kim and Ron have always been one step ahead of their opponents, navigating the social hierarchy of high school is more challenging than the action-hero ever imagined. With Drakken and Shego lurking in the wings, Kim must rely on her family and Team Possible—Ron, tech-genius Wade, new friend Athena, and Rufus, a Naked mole-rat.",86,tm411627,3.6,2019,Kim Possible,MOVIE
